Event Date,Weekday,Hour,Month,Day,Moon Phase,Full Moon,Temperature_MAX,Temperature_MIN,Precipitation,temperature
2024-10-11 16:27:00,Friday,16,October,11,0.299215908561614,0,65.8,42.6,0.0,54.2
2024-10-11 16:29:00,Friday,16,October,11,0.2992625962134357,0,65.8,42.6,0.0,54.2
2024-10-11 16:30:00,Friday,16,October,11,0.2992859400403114,0,65.8,42.6,0.0,54.2
2024-10-11 16:32:00,Friday,16,October,11,0.29933262769321406,0,65.8,42.6,0.0,54.2
2024-10-11 16:34:00,Friday,16,October,11,0.2993793153528024,0,65.8,42.6,0.0,54.2
2024-10-11 16:35:00,Friday,16,October,11,0.2994026591829573,0,65.8,42.6,0.0,54.2
2024-10-11 16:37:00,Friday,16,October,11,0.29944934683700825,0,65.8,42.6,0.0,54.2
2024-10-11 16:40:00,Friday,16,October,11,0.2995193783175057,0,65.8,42.6,0.0,54.2
2024-10-11 16:43:00,Friday,16,October,11,0.2995894097935393,0,65.8,42.6,0.0,54.2
2024-10-11 16:45:00,Friday,16,October,11,0.299636097446409,0,65.8,42.6,0.0,54.2
2024-10-11 16:50:00,Friday,16,October,11,0.29975281659453235,0,65.8,42.6,0.0,54.2
2024-10-17 08:03:00,Thursday,8,October,17,0.4891412873835882,0,54.4,36.6,0.0,45.5
2024-10-31 14:36:00,Thursday,14,October,31,0.9689269696459755,1,76.7,56.5,0.0,66.6
2024-08-01 00:00:00,Thursday,0,August,1,0.8825060628480358,0,91.0,71.3,0.0,81.15
2024-08-02 00:00:00,Friday,0,August,2,0.9163918836199763,1,90.4,69.5,1.4,79.95
2024-08-06 00:00:00,Tuesday,0,August,6,0.0517562737585833,0,76.4,65.2,5.6,70.80000000000001
2024-08-06 00:00:00,Tuesday,0,August,6,0.0517562737585833,0,76.4,65.2,5.6,70.80000000000001
2024-08-06 00:00:00,Tuesday,0,August,6,0.0517562737585833,0,76.4,65.2,5.6,70.80000000000001
2024-08-07 00:00:00,Wednesday,0,August,7,0.08552537332904668,0,69.7,61.6,18.4,65.65
2024-08-07 00:00:00,Wednesday,0,August,7,0.08552537332904668,0,69.7,61.6,18.4,65.65
2024-08-07 00:00:00,Wednesday,0,August,7,0.08552537332904668,0,69.7,61.6,18.4,65.65
2024-08-08 00:00:00,Thursday,0,August,8,0.11929447290619882,0,71.1,57.3,3.1,64.19999999999999
2024-08-08 00:00:00,Thursday,0,August,8,0.11929447290619882,0,71.1,57.3,3.1,64.19999999999999
2024-08-10 00:00:00,Saturday,0,August,10,0.18683267204922002,0,85.9,69.9,4.0,77.9
2024-08-11 00:00:00,Sunday,0,August,11,0.2206017716143076,0,82.9,62.9,0.0,72.9
2024-08-11 00:00:00,Sunday,0,August,11,0.2206017716143076,0,82.9,62.9,0.0,72.9
2024-08-13 00:00:00,Tuesday,0,August,13,0.2881399707640007,0,81.9,59.4,0.0,70.65
2024-08-13 00:00:00,Tuesday,0,August,13,0.2881399707640007,0,81.9,59.4,0.0,70.65
2024-08-13 00:00:00,Tuesday,0,August,13,0.2881399707640007,0,81.9,59.4,0.0,70.65
2024-08-15 00:00:00,Thursday,0,August,15,0.35567816990970913,0,81.2,62.4,1.7,71.8
2024-08-16 00:00:00,Friday,0,August,16,0.389447269489185,0,75.9,63.6,0.0,69.75
2024-08-16 00:00:00,Friday,0,August,16,0.389447269489185,0,75.9,63.6,0.0,69.75
2024-08-16 00:00:00,Friday,0,August,16,0.389447269489185,0,75.9,63.6,0.0,69.75
2024-08-17 00:00:00,Saturday,0,August,17,0.42321636905914534,0,74.0,62.2,0.0,68.1
2024-08-17 00:00:00,Saturday,0,August,17,0.42321636905914534,0,74.0,62.2,0.0,68.1
2024-08-18 00:00:00,Sunday,0,August,18,0.4569854686343534,0,74.8,62.6,2.4,68.7
2024-08-19 00:00:00,Monday,0,August,19,0.4907545682037049,0,76.8,66.6,12.4,71.69999999999999
2024-08-21 00:00:00,Wednesday,0,August,21,0.5582927673531284,0,71.6,54.8,2.1,63.199999999999996
2024-08-21 00:00:00,Wednesday,0,August,21,0.5582927673531284,0,71.6,54.8,2.1,63.199999999999996
2024-08-21 00:00:00,Wednesday,0,August,21,0.5582927673531284,0,71.6,54.8,2.1,63.199999999999996
2024-08-22 00:00:00,Thursday,0,August,22,0.5920618669299719,0,73.0,53.9,0.0,63.45
2024-08-23 00:00:00,Friday,0,August,23,0.6258309664972656,0,79.8,57.0,0.0,68.4
2024-08-24 00:00:00,Saturday,0,August,24,0.6596000660766737,0,81.8,59.7,0.0,70.75
2024-08-25 00:00:00,Sunday,0,August,25,0.693369165645988,0,82.0,59.7,0.0,70.85
2024-08-25 00:00:00,Sunday,0,August,25,0.693369165645988,0,82.0,59.7,0.0,70.85
2024-08-26 00:00:00,Monday,0,August,26,0.7271382652204758,0,75.5,61.1,3.4,68.3
2024-08-28 00:00:00,Wednesday,0,August,28,0.7946764643712257,0,90.1,67.6,0.3,78.85
2024-08-29 00:00:00,Thursday,0,August,29,0.8284455639384349,0,69.9,60.5,0.0,65.2
2024-08-29 00:00:00,Thursday,0,August,29,0.8284455639384349,0,69.9,60.5,0.0,65.2
2024-08-29 00:00:00,Thursday,0,August,29,0.8284455639384349,0,69.9,60.5,0.0,65.2
2024-08-29 00:00:00,Thursday,0,August,29,0.8284455639384349,0,69.9,60.5,0.0,65.2
2024-08-30 00:00:00,Friday,0,August,30,0.8622146635068679,0,70.2,55.5,0.0,62.85
2024-08-30 00:00:00,Friday,0,August,30,0.8622146635068679,0,70.2,55.5,0.0,62.85
2024-08-30 00:00:00,Friday,0,August,30,0.8622146635068679,0,70.2,55.5,0.0,62.85
2024-08-30 00:00:00,Friday,0,August,30,0.8622146635068679,0,70.2,55.5,0.0,62.85
2024-08-30 00:00:00,Friday,0,August,30,0.8622146635068679,0,70.2,55.5,0.0,62.85
2024-08-30 00:00:00,Friday,0,August,30,0.8622146635068679,0,70.2,55.5,0.0,62.85
